Date,TAVG
1958-06-01,55.5
1958-07-01,60.2
1958-08-01,63.4
1958-09-01,51.4
1958-10-01,41.7
1958-11-01,29.4
1958-12-01,26.9
1959-01-01,23.8
1959-02-01,20.6
1959-03-01,31.8
1959-04-01,39.6
1959-05-01,43.2
1959-06-01,55.4
1959-07-01,61.8
1959-08-01,57.6
1959-09-01,49.6
1959-10-01,40.7
1959-11-01,23.6
1959-12-01,24.7
1960-01-01,16.4
1960-02-01,22.8
1960-03-01,29.7
1960-04-01,38.7
1960-05-01,45.1
1960-06-01,54.7
1960-07-01,66.2
1960-08-01,57.5
1960-09-01,52.8
1960-10-01,41.3
1960-11-01,30.4
1960-12-01,20.7
1961-01-01,23.6
1961-02-01,33.2
1961-03-01,33.0
1961-04-01,37.1
1961-05-01,47.1
1961-06-01,59.6
1961-07-01,63.9
1961-08-01,65.4
1961-09-01,46.4
1961-10-01,38.9
1961-11-01,25.3
1961-12-01,21.3
1962-01-01,15.1
1962-02-01,24.0
1962-03-01,28.3
1962-04-01,41.2
1962-05-01,45.6
1962-06-01,53.0
1962-07-01,58.8
1962-08-01,58.4
1962-09-01,51.1
1962-10-01,41.2
1962-11-01,31.7
1962-12-01,29.1
1963-01-01,10.0
1963-02-01,30.8
1963-03-01,33.2
1963-04-01,38.6
1963-05-01,47.5
1963-06-01,53.5
1963-07-01,59.4
1963-08-01,61.4
1963-09-01,56.1
1963-10-01,44.9
1963-11-01,32.5
1963-12-01,19.9
1964-01-01,24.1
1964-02-01,24.6
1964-03-01,27.0
1964-04-01,36.6
1964-05-01,45.0
1964-06-01,53.0
1964-07-01,62.0
1964-08-01,56.6
1964-09-01,47.9
1964-10-01,40.7
1964-11-01,29.5
1964-12-01,19.7
1965-01-01,25.4
1965-02-01,26.2
1965-03-01,23.1
1965-04-01,39.6
1965-05-01,44.6
1965-06-01,52.0
1965-07-01,60.9
1965-08-01,59.1
1965-09-01,43.3
1965-10-01,43.6
1965-11-01,32.4
1965-12-01,25.4
1966-01-01,24.1
1966-02-01,25.1
1966-03-01,29.9
1966-04-01,37.7
1966-05-01,49.1
1966-06-01,51.7
1966-07-01,62.1
1966-08-01,59.4
1966-09-01,56.7
1966-10-01,40.5
1966-11-01,30.6
1966-12-01,27.4
1967-01-01,28.1
1967-02-01,30.1
1967-03-01,29.4
1967-04-01,34.9
1967-05-01,45.6
1967-06-01,54.1
1967-07-01,63.3
1967-08-01,64.2
1967-09-01,57.4
1967-10-01,41.4
1967-11-01,29.4
1967-12-01,20.9
1968-01-01,19.6
1968-02-01,29.6
1968-03-01,36.5
1968-04-01,36.1
1968-05-01,45.1
1968-06-01,53.1
1968-07-01,62.0
1968-08-01,57.7
1968-09-01,50.3
1968-10-01,38.9
1968-11-01,30.0
1968-12-01,18.6
1969-01-01,15.6
1969-02-01,21.1
1969-03-01,26.3
1969-04-01,42.2
1969-05-01,49.4
1969-06-01,53.2
1969-07-01,59.2
1969-08-01,61.5
1969-09-01,52.3
1969-10-01,36.4
1969-11-01,29.9
1969-12-01,24.8
1970-01-01,21.5
1970-02-01,29.2
1970-03-01,28.4
1970-04-01,33.8
1970-05-01,47.4
1970-06-01,57.4
1970-07-01,63.0
1970-08-01,61.6
1970-09-01,46.4
1970-10-01,37.7
1970-11-01,29.6
1970-12-01,21.6
1971-01-01,23.9
1971-02-01,27.4
1971-03-01,29.0
1971-04-01,38.4
1971-05-01,48.5
1971-06-01,52.0
1971-07-01,60.0
1971-08-01,64.7
1971-09-01,46.7
1971-10-01,38.0
1971-11-01,29.8
1971-12-01,19.3
1972-01-01,18.8
1972-02-01,25.4
1972-03-01,35.1
1972-04-01,36.1
1972-05-01,47.3
1972-06-01,55.3
1972-07-01,59.1
1972-08-01,62.5
1972-09-01,48.4
1972-10-01,38.3
1972-11-01,29.2
1972-12-01,16.4
1973-01-01,19.1
1973-02-01,26.4
1973-03-01,33.8
1973-04-01,37.3
1973-05-01,47.7
1973-06-01,54.0
1973-07-01,62.5
1973-08-01,61.6
1973-09-01,51.2
1973-10-01,41.2
1973-11-01,26.8
1973-12-01,27.5
1974-01-01,17.8
1974-02-01,28.9
1974-03-01,30.3
1974-04-01,39.9
1974-05-01,42.9
1974-06-01,58.2
1974-07-01,61.4
1974-08-01,59.2
1974-09-01,51.2
1974-10-01,42.1
1974-11-01,31.3
1974-12-01,25.7
1975-01-01,21.6
1975-02-01,20.8
1975-03-01,28.3
1975-04-01,32.8
1975-05-01,43.4
1975-06-01,50.2
1975-07-01,65.5
1975-08-01,56.9
1975-09-01,51.2
1975-10-01,39.5
1975-11-01,26.3
1975-12-01,25.1
1976-01-01,25.4
1976-02-01,26.4
1976-03-01,27.7
1976-04-01,39.2
1976-05-01,49.0
1976-06-01,51.0
1976-07-01,61.9
1976-08-01,58.8
1976-09-01,53.6
1976-10-01,40.6
1976-11-01,30.2
1976-12-01,24.6
1977-01-01,17.6
1977-02-01,29.4
1977-03-01,30.1
1977-04-01,41.4
1977-05-01,45.2
1977-06-01,57.7
1977-07-01,60.1
1977-08-01,60.7
1977-09-01,50.2
1977-10-01,40.3
1977-11-01,27.3
1977-12-01,22.3
1978-01-01,22.9
1978-02-01,25.8
1978-03-01,34.4
1978-04-01,40.4
1978-05-01,43.6
1978-06-01,54.2
1978-07-01,59.8
1978-08-01,58.2
1978-09-01,51.4
1978-10-01,41.8
1978-11-01,22.8
1978-12-01,14.3
1979-01-01,3.8
1979-02-01,23.7
1979-03-01,31.9
1979-04-01,37.9
1979-05-01,47.1
1979-06-01,55.2
1979-07-01,61.5
1979-08-01,62.0
1979-09-01,54.9
1979-10-01,43.1
1979-11-01,24.3
1979-12-01,28.4
1980-01-01,14.0
1980-02-01,26.7
1980-03-01,28.8
1980-04-01,43.1
1980-05-01,49.2
1980-06-01,53.0
1980-07-01,59.8
1980-08-01,55.4
1980-09-01,52.0
1980-10-01,41.7
1980-11-01,31.1
1980-12-01,29.7
1981-01-01,28.0
1981-02-01,28.2
1981-03-01,35.0
1981-04-01,40.5
1981-05-01,47.0
1981-06-01,50.6
1981-07-01,59.7
1981-08-01,63.6
1981-09-01,52.5
1981-10-01,39.3
1981-11-01,31.2
1981-12-01,24.2
1982-01-01,19.6
1982-02-01,20.1
1982-03-01,32.2
1982-04-01,34.9
1982-05-01,45.1
1982-06-01,55.6
1982-07-01,59.4
1982-08-01,61.3
1982-09-01,50.6
1982-10-01,40.0
1982-11-01,25.5
1982-12-01,21.6
1983-01-01,27.9
1983-02-01,31.0
1983-03-01,35.1
1983-04-01,38.2
1983-05-01,46.8
1983-06-01,53.6
1983-07-01,57.8
1983-08-01,63.9
1983-09-01,47.6
1983-10-01,41.1
1983-11-01,31.3
1983-12-01,10.0
1984-01-01,24.0
1984-02-01,29.9
1984-03-01,34.8
1984-04-01,38.6
1984-05-01,44.6
1984-06-01,52.0
1984-07-01,62.1
1984-08-01,62.7
1984-09-01,47.5
1984-10-01,37.6
1984-11-01,29.4
1984-12-01,18.2
1985-01-01,16.9
1985-02-01,19.8
1985-03-01,30.1
1985-04-01,41.5
1985-05-01,49.5
1985-06-01,55.4
1985-07-01,67.6
1985-08-01,56.8
1985-09-01,45.5
1985-10-01,37.3
1985-11-01,17.1
1985-12-01,15.7
1986-01-01,25.4
1986-02-01,25.6
1986-03-01,37.6
1986-04-01,38.9
1986-05-01,49.2
1986-06-01,60.1
1986-07-01,57.2
1986-08-01,63.7
1986-09-01,47.5
1986-10-01,41.5
1986-11-01,27.5
1986-12-01,20.6
1987-01-01,20.4
1987-02-01,27.4
1987-03-01,33.3
1987-04-01,45.1
1987-05-01,50.7
1987-06-01,57.0
1987-07-01,59.8
1987-08-01,57.2
1987-09-01,54.9
1987-10-01,42.7
1987-11-01,31.8
1987-12-01,22.6
1988-01-01,19.8
1988-02-01,28.9
1988-03-01,32.9
1988-04-01,42.4
1988-05-01,47.7
1988-06-01,59.0
1988-07-01,61.9
1988-08-01,61.2
1988-09-01,52.0
1988-10-01,47.0
1988-11-01,31.0
1988-12-01,22.9
1989-01-01,25.5
1989-02-01,13.5
1989-03-01,28.5
1989-04-01,40.2
1989-05-01,46.2
1989-06-01,55.8
1989-07-01,64.8
1989-08-01,58.0
1989-09-01,51.8
1989-10-01,40.8
1989-11-01,33.1
1989-12-01,23.3
1990-01-01,28.0
1990-02-01,25.0
1990-03-01,32.9
1990-04-01,42.2
1990-05-01,44.9
1990-06-01,54.0
1990-07-01,62.7
1990-08-01,61.4
1990-09-01,58.5
1990-10-01,39.0
1990-11-01,32.3
1990-12-01,13.4
1991-01-01,20.7
1991-02-01,32.9
1991-03-01,30.1
1991-04-01,38.2
1991-05-01,45.4
1991-06-01,51.6
1991-07-01,62.8
1991-08-01,64.6
1991-09-01,53.8
1991-10-01,40.1
1991-11-01,27.2
1991-12-01,25.1
1992-01-01,25.5
1992-02-01,32.9
1992-03-01,39.2
1992-04-01,42.0
1992-05-01,51.1
1992-06-01,58.7
1992-07-01,58.4
1992-08-01,60.3
1992-09-01,50.1
1992-10-01,43.6
1992-11-01,27.6
1992-12-01,18.1
1993-01-01,15.2
1993-02-01,16.8
1993-03-01,34.5
1993-04-01,39.1
1993-05-01,52.7
1993-06-01,52.2
1993-07-01,53.5
1993-08-01,57.2
1993-09-01,50.5
1993-10-01,42.1
1993-11-01,23.8
1993-12-01,25.0
1994-01-01,30.3
1994-02-01,22.4
1994-03-01,35.1
1994-04-01,41.7
1994-05-01,50.0
1994-06-01,54.3
1994-07-01,64.3
1994-08-01,64.5
1994-09-01,56.0
1994-10-01,39.8
1994-11-01,25.9
1994-12-01,23.2
1995-01-01,23.0
1995-02-01,29.5
1995-03-01,31.5
1995-04-01,38.1
1995-05-01,47.4
1995-06-01,52.9
1995-07-01,60.7
1995-08-01,58.4
1995-09-01,52.8
1995-10-01,37.7
1995-11-01,32.4
1995-12-01,23.4
1996-01-01,19.1
1996-02-01,22.4
1996-03-01,28.7
1996-04-01,39.9
1996-05-01,43.1
1996-06-01,55.0
1996-07-01,63.7
1996-08-01,60.8
1996-09-01,49.9
1996-10-01,39.6
1996-11-01,27.6
1996-12-01,21.0
1997-01-01,20.3
1997-02-01,25.1
1997-03-01,31.2
1997-04-01,34.9
1997-05-01,49.3
1997-06-01,53.7
1997-07-01,59.8
1997-08-01,61.6
1997-09-01,54.1
1997-10-01,40.0
1997-11-01,30.2
1997-12-01,23.4
1998-01-01,23.2
1998-02-01,28.5
1998-03-01,32.4
1998-04-01,41.2
1998-05-01,49.5
1998-06-01,51.4
1998-07-01,66.0
1998-08-01,63.8
1998-09-01,58.2
1998-10-01,41.0
1998-11-01,32.4
1998-12-01,22.7
1999-01-01,27.5
1999-02-01,28.1
1999-03-01,33.8
1999-04-01,37.6
1999-05-01,45.0
1999-06-01,52.1
1999-07-01,59.3
1999-08-01,62.7
1999-09-01,50.3
1999-10-01,42.1
1999-11-01,36.0
1999-12-01,27.2
2000-01-01,24.8
2000-02-01,28.9
2000-03-01,35.1
2000-04-01,42.1
2000-05-01,47.3
2000-06-01,54.6
2000-07-01,63.3
2000-08-01,62.4
2000-09-01,50.2
2000-10-01,41.0
2000-11-01,24.2
2000-12-01,21.2
2001-01-01,23.9
2001-02-01,22.0
2001-03-01,34.0
2001-04-01,37.8
2001-05-01,49.6
2001-06-01,53.1
2001-07-01,61.5
2001-08-01,65.0
2001-09-01,57.6
2001-10-01,40.2
2001-11-01,34.7
2001-12-01,23.1
2002-01-01,24.8
2002-02-01,25.6
2002-03-01,26.0
2002-04-01,37.1
2002-05-01,44.6
2002-06-01,54.3
2002-07-01,65.0
2002-08-01,57.8
2002-09-01,52.9
2002-10-01,37.1
2002-11-01,31.2
2002-12-01,27.5
2003-01-01,28.2
2003-02-01,26.0
2003-03-01,33.5
2003-04-01,40.4
2003-05-01,46.7
2003-06-01,56.2
2003-07-01,66.7
2003-08-01,64.9
2003-09-01,53.8
2003-10-01,44.6
2003-11-01,24.6
2003-12-01,25.3
2004-01-01,22.0
2004-02-01,28.2
2004-03-01,37.8
2004-04-01,42.6
2004-05-01,45.7
2004-06-01,54.5
2004-07-01,63.7
2004-08-01,61.4
2004-09-01,49.9
2004-10-01,41.6
2004-11-01,31.7
2004-12-01,28.2
2005-01-01,23.5
2005-02-01,29.1
2005-03-01,35.0
2005-04-01,39.7
2005-05-01,47.7
2005-06-01,52.2
2005-07-01,62.9
2005-08-01,61.5
2005-09-01,51.0
2005-10-01,43.3
2005-11-01,29.4
2005-12-01,20.2
2006-01-01,30.7
2006-02-01,23.1
2006-03-01,32.0
2006-04-01,41.6
2006-05-01,49.6
2006-06-01,57.8
2006-07-01,67.1
2006-08-01,61.0
2006-09-01,53.5
2006-10-01,40.8
2006-11-01,30.5
2006-12-01,24.1
2007-01-01,22.0
2007-02-01,29.2
2007-03-01,37.6
2007-04-01,40.5
2007-05-01,48.9
2007-06-01,56.5
2007-07-01,70.8
2007-08-01,61.6
2007-09-01,52.0
2007-10-01,41.7
2007-11-01,30.0
2007-12-01,23.9
2008-01-01,20.0
2008-02-01,29.5
2008-03-01,30.2
2008-04-01,35.2
2008-05-01,46.8
2008-06-01,53.1
2008-07-01,62.3
2008-08-01,61.1
2008-09-01,51.4
2008-10-01,41.6
2008-11-01,35.0
2008-12-01,18.8
2009-01-01,24.0
2009-02-01,28.5
2009-03-01,29.0
2009-04-01,38.7
2009-05-01,48.0
2009-06-01,54.4
2009-07-01,62.9
2009-08-01,61.4
2009-09-01,57.5
2009-10-01,35.6
2009-11-01,32.4
2009-12-01,17.8
2010-01-01,26.7
2010-02-01,29.6
2010-03-01,35.8
2010-04-01,39.3
2010-05-01,43.6
2010-06-01,53.2
2010-07-01,60.8
2010-08-01,60.0
2010-09-01,52.4
2010-10-01,44.6
2010-11-01,26.8
2010-12-01,22.3
2011-01-01,24.4
2011-02-01,20.9
2011-03-01,32.9
2011-04-01,35.3
2011-05-01,45.7
2011-06-01,51.6
2011-07-01,60.8
2011-08-01,64.0
2011-09-01,57.2
2011-10-01,42.5
2011-11-01,28.5
2011-12-01,25.2
2012-01-01,26.2
2012-02-01,26.7
2012-03-01,35.2
2012-04-01,43.0
2012-05-01,46.0
2012-06-01,53.7
2012-07-01,65.9
2012-08-01,63.9
2012-09-01,56.2
2012-10-01,40.6
2012-11-01,33.2
2012-12-01,25.6
2013-01-01,23.3
2013-02-01,29.2
2013-03-01,33.5
2013-04-01,37.1
2013-05-01,49.1
2013-06-01,55.7
2013-07-01,66.6
2013-08-01,64.5
2013-09-01,55.4
2013-10-01,39.1
2013-11-01,31.1
2013-12-01,21.2
2014-01-01,27.6
2014-02-01,18.2
2014-03-01,33.0
2014-04-01,39.6
2014-05-01,49.2
2014-06-01,53.4
2014-07-01,66.1
2014-08-01,62.5
2014-09-01,54.2
2014-10-01,46.8
2014-11-01,27.3
2014-12-01,25.9
2015-01-01,27.7
2015-02-01,32.2
2015-03-01,38.5
2015-04-01,41.3
2015-05-01,49.8
2015-06-01,62.6
2015-07-01,63.3
2015-08-01,63.9
2015-09-01,53.5
2015-10-01,47.3
2015-11-01,29.1
2015-12-01,24.8
2016-01-01,26.2
2016-02-01,33.0
2016-03-01,35.4
2016-04-01,46.0
2016-05-01,48.7
2016-06-01,57.8
2016-07-01,60.9
2016-08-01,61.1
2016-09-01,51.3
2016-10-01,42.1
2016-11-01,36.6
2016-12-01,17.6
2017-01-01,16.5
2017-02-01,26.8
2017-03-01,36.2
2017-04-01,39.5
2017-05-01,50.0
2017-06-01,56.7
2017-07-01,68.0
2017-08-01,64.4
2017-09-01,52.9
2017-10-01,39.6
2017-11-01,31.2
2017-12-01,22.7
2018-01-01,28.8
2018-02-01,21.3
2018-03-01,32.8
2018-04-01,38.8
2018-05-01,52.9
2018-06-01,54.0
2018-07-01,63.3
2018-08-01,61.5
2018-09-01,52.0
2018-10-01,41.3
2018-11-01,30.5
2018-12-01,24.5
2019-01-01,26.1
2019-02-01,15.2
2019-03-01,28.0
2019-04-01,40.0
2019-05-01,48.7
2019-06-01,55.1
2019-07-01,61.3
2019-08-01,62.6
2019-09-01,52.2
2019-10-01,34.1
2019-11-01,30.4
2019-12-01,28.0
2020-01-01,28.3
2020-02-01,27.4
2020-03-01,32.3
2020-04-01,39.1
2020-05-01,47.7
2020-06-01,54.0
2020-07-01,61.2
2020-08-01,63.3
2020-09-01,55.5
2020-10-01,39.7
2020-11-01,31.5
2020-12-01,27.2
2021-01-01,27.2
2021-02-01,20.4
2021-03-01,34.7
2021-04-01,39.4
2021-05-01,46.1
2021-06-01,60.4
2021-07-01,69.3
2021-08-01,61.1
2021-09-01,54.3
2021-10-01,43.1
2021-11-01,34.3
2021-12-01,24.8
